"year","state","state_law","age","married_woman","after","log_wage"
1974,"IL",1,27,1,0,1.91367
1974,"IL",1,43,0,0,2.4196
1974,"IL",1,43,0,0,1.63408
1974,"IL",1,29,1,0,2.29444
1974,"IN",0,24,1,0,1.0825
1974,"IN",0,22,1,0,1.23505
1974,"IN",0,27,1,0,1.41737
1974,"IN",0,58,0,0,1.45611
1974,"IN",0,61,0,0,1.29838
1974,"IN",0,49,0,0,2.29444
1974,"IN",0,60,0,0,1.88897
1974,"IN",0,24,0,0,1.54648
1974,"IN",0,59,0,0,1.44892
1974,"IN",0,50,0,0,2.11212
1974,"IN",0,50,0,0,1.41897
1974,"IN",0,33,1,0,0.685
1974,"IN",0,41,0,0,1.37815
1974,"IN",0,33,1,0,2.04312
1974,"IN",0,39,1,0,1.75544
1974,"IN",0,30,1,0,1.50331
1974,"IN",0,43,0,0,1.47346
1974,"OH",0,45,0,0,2.13583
1974,"OH",0,44,0,0,1.09047
1974,"OH",0,59,0,0,1.88897
1974,"OH",0,55,0,0,2.71565
1974,"OH",0,57,0,0,2.29444
1974,"OH",0,42,0,0,1.41094
1974,"OH",0,55,0,0,1.93776
1974,"OH",0,54,0,0,2.26398
1974,"OH",0,59,0,0,1.96693
1974,"OH",0,31,0,0,2.37668
1974,"OH",0,54,0,0,1.92819
1974,"OH",0,48,0,0,1.94724
1974,"OH",0,48,0,0,2.07129
1974,"OH",0,48,0,0,2.68748
1974,"OH",0,49,0,0,1.66583
1974,"OH",0,41,0,0,2.12641
1974,"OH",0,22,0,0,0.03268
1974,"OH",0,23,0,0,1.60129
1974,"OH",0,25,1,0,1.29114
1974,"OH",0,21,1,0,1.29114
1974,"OH",0,48,0,0,1.88897
1974,"OH",0,26,1,0,1.6469
1974,"OH",0,37,1,0,1.88897
1974,"OH",0,60,0,0,1.21954
1974,"OH",0,53,0,0,2.37755
1974,"OH",0,26,1,0,1.54722
1974,"OH",0,47,0,0,2.0023
1974,"OH",0,25,0,0,1.40446
1974,"OH",0,54,0,0,1.75544
1974,"OH",0,51,0,0,2.11212
1974,"OH",0,30,1,0,1.77119
1974,"OH",0,37,1,0,1.45819
1974,"OH",0,28,1,0,1.54366
1974,"OH",0,31,0,0,1.75544
1974,"OH",0,22,1,0,1.46126
1974,"OH",0,44,0,0,1.46126
1974,"OH",0,25,1,0,1.37815
1974,"OH",0,54,0,0,2.80526
1974,"OH",0,45,0,0,2.80526
1974,"OH",0,21,0,0,1.98428
1974,"OH",0,25,1,0,1.80559
1974,"OH",0,27,0,0,2.44859
1974,"OH",0,21,1,0,0.37485
1974,"OH",0,45,0,0,1.45819
1974,"OH",0,55,0,0,1.34998
1974,"OH",0,32,1,0,0.50268
1974,"OH",0,51,0,0,1.32685
1974,"OH",0,43,0,0,0.89472
1974,"OH",0,45,0,0,1.88897
1974,"OH",0,41,0,0,1.66583
1974,"OH",0,22,1,0,1.56047
1974,"OH",0,52,0,0,1.82069
1974,"OH",0,21,0,0,1.36978
1974,"OH",0,25,1,0,1.81101
1974,"OH",0,48,0,0,1.88897
1974,"OH",0,47,0,0,1.88897
1974,"OH",0,45,0,0,1.41897
1974,"OH",0,64,0,0,0.685
1974,"IN",0,60,0,0,2.15134
1974,"IN",0,30,1,0,2.07129
1974,"IN",0,21,0,0,1.93776
1974,"IN",0,20,0,0,1.87081
1974,"IL",1,34,1,0,1.37815
1974,"IL",1,49,0,0,2.35898
1974,"IL",1,38,1,0,1.56739
1974,"IL",1,51,0,0,1.83768
1974,"OH",0,44,0,0,1.19583
1974,"OH",0,48,0,0,1.7288
1974,"OH",0,48,0,0,1.57152
1974,"OH",0,56,0,0,1.66583
1974,"OH",0,54,0,0,2.08964
1974,"OH",0,52,0,0,1.21563
1974,"OH",0,58,0,0,2.26054
1974,"OH",0,25,1,0,1.24462
1974,"OH",0,46,0,0,1.95663
1974,"OH",0,25,1,0,1.19583
1974,"OH",0,50,0,0,2.07129
1974,"OH",0,20,1,0,1.96129
1974,"OH",0,62,0,0,1.66583
1974,"OH",0,21,1,0,1.24462
1974,"IN",0,45,0,0,1.41897
1974,"IN",0,51,0,0,1.37815
1974,"IN",0,46,0,0,1.86877
