unit,e,gap,ratio
LU,-4,-1.81530924487639,2.54341347762028
LU,-3,-0.102072105538571,2.54341347762028
LU,-2,-0.961807353989391,2.54341347762028
LU,-1,1.25919639142006,2.54341347762028
LU,0,4.16253756722707,2.54341347762028
LU,1,-6.17735669603401,2.54341347762028
LU,2,-1.84423310466336,2.54341347762028
LU,3,-4.08860556064707,2.54341347762028
LU,4,-1.19516553302032,2.54341347762028
LU,5,3.40240246551014,2.54341347762028
LU,6,-4.29329126590105,2.54341347762028
LU,7,-4.08845324531026,2.54341347762028
LU,8,-2.78278436001623,2.54341347762028
NL,-8,0.0254175260107328,53.7979666885494
NL,-7,-0.0320549167207567,53.7979666885494
NL,-6,0.0215005084724336,53.7979666885494
NL,-5,0.00708439654551363,53.7979666885494
NL,-4,0.0159769053202155,53.7979666885494
NL,-3,-0.0279519410723665,53.7979666885494
NL,-2,0.0157345515634351,53.7979666885494
NL,-1,-0.0320219557893537,53.7979666885494
NL,0,0.31465373501451,53.7979666885494
NL,1,0.697415001670386,53.7979666885494
NL,2,0.739226773167399,53.7979666885494
NL,3,1.39353603764312,53.7979666885494
NL,4,1.13028072636377,53.7979666885494
NL,5,0.319824992470586,53.7979666885494
NL,6,1.41302156101521,53.7979666885494
NL,7,1.67302513321622,53.7979666885494
NL,8,2.3212829355006,53.7979666885494
PT,-8,0.593340441910542,5.29680289556285
PT,-7,1.09874418720001,5.29680289556285
PT,-6,0.00839412790560257,5.29680289556285
PT,-5,-0.511010652240789,5.29680289556285
PT,-4,-1.16988052983297,5.29680289556285
PT,-3,-1.07581768946961,5.29680289556285
PT,-2,-0.734387102112271,5.29680289556285
PT,-1,1.68050027002442,5.29680289556285
PT,0,6.57083057088144,5.29680289556285
PT,1,5.72870524996992,5.29680289556285
PT,2,6.45537011756717,5.29680289556285
PT,3,3.4961935009668,5.29680289556285
PT,4,3.36253672609815,5.29680289556285
PT,5,5.14679152382815,5.29680289556285
PT,6,5.10679203902699,5.29680289556285
PT,7,4.47591428785479,5.29680289556285
PT,8,5.43603166233012,5.29680289556285
SI,-8,-1.50463764034797,1.61233699197404
SI,-7,-1.86198509322067,1.61233699197404
SI,-6,-0.115689809796841,1.61233699197404
SI,-5,-0.20556095126588,1.61233699197404
SI,-4,1.94787058091083,1.61233699197404
SI,-3,-0.206808811563505,1.61233699197404
SI,-2,0.781595755716584,1.61233699197404
SI,-1,2.08576966141963,1.61233699197404
SI,0,-0.0916847406843537,1.61233699197404
SI,1,3.47495053648778,1.61233699197404
SI,2,-0.000825313028617103,1.61233699197404
SI,3,1.48975169448558,1.61233699197404
SI,4,3.82561768516604,1.61233699197404
SI,5,-1.89702772295266,1.61233699197404
SI,6,-2.17489765428271,1.61233699197404
SI,7,-0.326685632201485,1.61233699197404
SI,8,-2.29796321145424,1.61233699197404
UK,-8,-0.129548697683001,4.83469198776081
UK,-7,0.0623992410857603,4.83469198776081
UK,-6,-0.169973583816653,4.83469198776081
UK,-5,-0.122703233586955,4.83469198776081
UK,-4,-0.126240987814771,4.83469198776081
UK,-3,0.34492302099329,4.83469198776081
UK,-2,0.0227521969659552,4.83469198776081
UK,-1,0.166572625391511,4.83469198776081
UK,0,0.594297295940018,4.83469198776081
UK,1,-0.25912226298573,4.83469198776081
UK,2,0.785471362618478,4.83469198776081
UK,3,0.174808883963991,4.83469198776081
UK,4,0.309892144760751,4.83469198776081
UK,5,0.981890351221395,4.83469198776081
UK,6,1.3345127200441,4.83469198776081
UK,7,0.946963698939043,4.83469198776081
UK,8,1.08833700379417,4.83469198776081
