unit,e,gap,ratio
CZ,4,0.121553474699727,0.627455904644304
CZ,5,0.299889021143686,0.627455904644304
DE,-11,-0.00801548748182768,491.618305740709
DE,-10,0.00738462580013888,491.618305740709
DE,-9,-0.00939450437300593,491.618305740709
DE,-8,0.00548396141168084,491.618305740709
DE,-7,0.00203019285826578,491.618305740709
DE,-6,0.00771129570275164,491.618305740709
DE,-5,0.00101604786071441,491.618305740709
DE,-4,-0.0103913086505987,491.618305740709
DE,-3,0.00984378582228729,491.618305740709
DE,-2,0.00608983276011443,491.618305740709
DE,-1,-0.0110248482642046,491.618305740709
DE,0,2.66942959659141,491.618305740709
DE,1,2.91777491429797,491.618305740709
DE,2,-0.773434161556322,491.618305740709
DE,3,0.590492270745791,491.618305740709
DE,4,3.18391797012194,491.618305740709
DE,5,7.80867949070001,491.618305740709
EE,-11,0.0177365300317689,527.660887296036
EE,-10,-0.0151578336191491,527.660887296036
EE,-9,0.0325304141066525,527.660887296036
EE,-8,-0.0209480928293146,527.660887296036
EE,-7,-0.00719709808083024,527.660887296036
EE,-6,-0.0294490268451781,527.660887296036
EE,-5,-0.0118285088210328,527.660887296036
EE,-4,0.0623555847372828,527.660887296036
EE,-3,-0.0487833882220841,527.660887296036
EE,-2,-0.0343127070443501,527.660887296036
EE,-1,0.0548489019557543,527.660887296036
EE,0,-12.9943741586872,527.660887296036
EE,1,-14.1614432297173,527.660887296036
EE,2,3.73786797794318,527.660887296036
EE,3,-2.90435534439089,527.660887296036
EE,4,-15.4558138344739,527.660887296036
EE,5,-37.7857487431039,527.660887296036
EL,-11,0.421425743289115,1.3791334081161
EL,-10,-0.0355187893523592,1.3791334081161
EL,-9,-0.117035142328612,1.3791334081161
EL,-8,-0.625054723538564,1.3791334081161
EL,-7,0.251059848244327,1.3791334081161
EL,-6,0.310681526316141,1.3791334081161
EL,-5,-0.0112765358718723,1.3791334081161
EL,-4,0.195031655744791,1.3791334081161
EL,-3,-0.0625927615005275,1.3791334081161
EL,-2,-0.124565188168147,1.3791334081161
EL,-1,-0.4952785785416,1.3791334081161
EL,0,-0.233780704318656,1.3791334081161
EL,1,0.512767586029044,1.3791334081161
EL,2,-0.0816325887032989,1.3791334081161
EL,3,-0.688777998196072,1.3791334081161
EL,4,-0.501163449501079,1.3791334081161
EL,5,0.187214741368544,1.3791334081161
ES,-11,0.000401679448259529,454.498782748416
ES,-10,-0.00145290072855886,454.498782748416
ES,-9,0.00297524723955078,454.498782748416
ES,-8,0.00147421080918164,454.498782748416
ES,-7,-0.00131115219752331,454.498782748416
ES,-6,-0.00436054316941892,454.498782748416
ES,-5,0.00067131348673044,454.498782748416
ES,-4,0.00324137331790197,454.498782748416
ES,-3,-0.00433813466038124,454.498782748416
ES,-2,-0.00218495839739852,454.498782748416
ES,-1,0.00506366610273545,454.498782748416
ES,0,-0.928093578332092,454.498782748416
ES,1,-1.01778483622516,454.498782748416
ES,2,0.268697412725059,454.498782748416
ES,3,-0.203588600537028,454.498782748416
ES,4,-1.10680335746392,454.498782748416
ES,5,-2.71671193979178,454.498782748416
